Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Steven Wright","BOS",72.2,-5.407560767197028,,,,,,,1.0004371788983788,,,,,0.4660665004625233,"Steven Wright",8185,453214
"R.A. Dickey","TOR",214.1,-7.781416829427084,,,,,,,,,0.3055128439878806,,,-0.5751152160276719,"R.A. Dickey",1245,285079
"Neftalí Feliz","- - -",48,-5.727991471078885,,,,,-7.514374732971191,3.9649999776017775,6.034999847412109,,,-7.77016953290519,,,"Neftali Feliz",18,491703
"Xavier Cedeño","- - -",46,-0.510239985539363,,,-7.460000038146973,,5.623076805701623,,-3.2821274598439536,,,1.5544999440511067,,,"Xavier Cedeno",36,458584
"Jason Marquis","CIN",47.1,,,,,,-10.026796960103486,0.09679998397827148,,,,-6.459024568883384,,,"Jason Marquis",105,150302
"Rafael Betancourt","COL",39.1,-2.6925617086476294,,0.0820754698987277,,,,2.97282202769134,,,,-5.471749877929687,,,"Rafael Betancourt",177,429783
"Mark Buehrle","TOR",198.2,1.5735936119931864,,-0.5350273424158982,,,7.552159759963768,,-4.161452423982106,,,8.305065815388655,,,"Mark Buehrle",225,279824
"Bartolo Colon","NYM",194.2,-4.113887418566457,,,,,-9.081128759085093,1.1046538178737346,-4.195000171661377,,,-7.691717220075203,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",167.1,4.516612708831922,,1.1776782274246216,,,9.527461088905039,-5.6532561499225205,,,,6.735452205576795,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",62.2,-3.4868696793265963,,,,,-7.392797697322033,,,,,-9.656261771065848,,,"Fernando Rodney",494,407845
"A.J. Burnett","PIT",164,-4.240513631742295,,,,,-7.66576913686899,,,4.24149114814894,,-6.5425116830764845,,,"A.J. Burnett",512,150359
"Jason Grilli","ATL",33.2,-7.578307792467949,,,,,-9.428888956705729,5.7456152604862964,,,,-9.779999732971191,,,"Jason Grilli",521,276351
"Jeremy Affeldt","SFG",35.1,,,,,,10.4186953125,,-5.914621064157197,,,9.332499821980795,,,"Jeremy Affeldt",583,346793
"LaTroy Hawkins","- - -",38.2,-7.32806396484375,,,,,-8.590000364515516,0.9086516733919636,3.420000178118547,,,-7.089772657914595,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",152.1,-2.4166666666666665,,,,,-6.663160761876969,3.1457245360265103,4.759537536973898,,,-7.462725761241483,,,"Kyle Lohse",739,346798
"Randy Choate","STL",27.1,7.3700002034505205,,,,,7.645194974296537,-5.826095790079195,,,,,,,"Randy Choate",813,329092
"Scott Carroll","CHW",36.2,-7.648969708066998,,0.8129999542236328,,,-9.452467985474007,1.9758695519488791,5.48787218459109,,,-4.671330460258152,,,"Scott Carroll",888,453222
"Tim Hudson","SFG",123.2,-4.402461682833158,,1.7144417936898184,-5.421256134475487,,-7.887231326458243,,7.8015813428302145,,,,,,"Tim Hudson",921,218596
"Randy Wolf","DET",34.2,4.531855612686,,,,,8.194559134689031,-1.64993617409154,-4.014536007163451,,,7.810869921808657,,,"Randy Wolf",976,150116
"Joe Beimel","SEA",47.1,4.342685746173469,,,,,8.267603284530058,-1.2301123972689167,-6.082428523472378,-3.1600000858306885,,9.08085273293888,,,"Joe Beimel",979,346847
"Aaron Thompson","MIN",32.1,5.00204607762328,,,,,,0.3844058623373758,-1.850000023841858,,,8.461212158203125,,,"Aaron Thompson",999,457744
"Ryan Vogelsong","SFG",135,-5.000432396739847,,1.1699999570846558,,,-8.14446594996482,-0.29321126534905234,1.9015286196568968,,,-8.155505247790405,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",110.2,-6.625553193933824,,-0.13163707665437777,,,-9.028729797040343,1.2920688760691676,2.2711446371423194,,,-9.06933361235119,,,"Jake Peavy",1051,408241
"Marco Estrada","TOR",181,-3.1689935499621975,,1.2231221652138826,,,,,5.719937808788454,,,-6.282429214196703,,,"Marco Estrada",1118,462136
